film,year,wiki_url,oscar_winner,detail_url,producers,production_company,original_budget,converted_budget
The Sting,1973,http://en.wikipedia.org/wiki/The_Sting,True,http://oscars.yipitdata.com/films/The_Sting,"Tony Bill , Michael Phillips , Julia Phillips",Universal,$5.5 million [ 1 ],5500000
American Graffiti,1973,http://en.wikipedia.org/wiki/American_Graffiti,False,http://oscars.yipitdata.com/films/American_Graffiti,"Francis Ford Coppola , Gary Kurtz","Lucasfilm , Universal, Coppola Co.","$777,000 [ 1 ]",777000
Cries and Whispers [K],1973,http://en.wikipedia.org/wiki/Cries_and_Whispers,False,http://oscars.yipitdata.com/films/Cries_and_Whispers,Ingmar Bergman,"Cinematograph, Svenska Filminstitutet","$400,000",400000
The Exorcist,1973,http://en.wikipedia.org/wiki/The_Exorcist_(film),False,http://oscars.yipitdata.com/films/The_Exorcist_(film),William Peter Blatty,Warner Bros.,$12 million [ 2 ],12000000
A Touch of Class,1973,http://en.wikipedia.org/wiki/A_Touch_of_Class_(film),False,http://oscars.yipitdata.com/films/A_Touch_of_Class_(film),Melvin Frank,"Avco Embassy, Gordon Film Productions",,0
The Godfather Part II  [O],1974,http://en.wikipedia.org/wiki/The_Godfather_Part_II,True,http://oscars.yipitdata.com/films/The_Godfather_Part_II,"Francis Ford Coppola , Gray Frederickson , Fred Roos",Paramount,$13 million [ 2 ] [ 3 ],13000000
Chinatown,1974,http://en.wikipedia.org/wiki/Chinatown_(1974_film),False,http://oscars.yipitdata.com/films/Chinatown_(1974_film),Robert Evans,Paramount,$6 million [ 2 ],6000000
The Conversation,1974,http://en.wikipedia.org/wiki/The_Conversation,False,http://oscars.yipitdata.com/films/The_Conversation,Francis Ford Coppola,"Paramount, Coppola Co.",$1.6 million,1600000
Lenny,1974,http://en.wikipedia.org/wiki/Lenny_(film),False,http://oscars.yipitdata.com/films/Lenny_(film),Marvin Worth,United Artists,,0
The Towering Inferno,1974,http://en.wikipedia.org/wiki/The_Towering_Inferno,False,http://oscars.yipitdata.com/films/The_Towering_Inferno,Irwin Allen,"20th Century Fox, Warner Bros.",$14.3 million [ 1 ],14300000
One Flew Over the Cuckoo's Nest,1975,http://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True,http://oscars.yipitdata.com/films/One_Flew_Over_the_Cuckoo%2527s_Nest_(film),"Saul Zaentz [N] , Michael Douglas",United Artists,$3 million [ 3 ],3000000
Barry Lyndon,1975,http://en.wikipedia.org/wiki/Barry_Lyndon,False,http://oscars.yipitdata.com/films/Barry_Lyndon,Stanley Kubrick,"Warner Bros., Peregrine Productions, Hawk Films",$11 million,11000000
Dog Day Afternoon,1975,http://en.wikipedia.org/wiki/Dog_Day_Afternoon,False,http://oscars.yipitdata.com/films/Dog_Day_Afternoon,"Martin Bregman, Martin Elfand",Warner Bros.,$1.8 million,1800000
Jaws,1975,http://en.wikipedia.org/wiki/Jaws_(film),False,http://oscars.yipitdata.com/films/Jaws_(film),Richard D. Zanuck and David Brown,Universal,$9 million,9000000
Nashville,1975,http://en.wikipedia.org/wiki/Nashville_(film),False,http://oscars.yipitdata.com/films/Nashville_(film),Robert Altman,Paramount,$2.2 million,2200000
Rocky,1976,http://en.wikipedia.org/wiki/Rocky,True,http://oscars.yipitdata.com/films/Rocky,"Irwin Winkler , Robert Chartoff",United Artists,$1.1 million,1100000
All the President's Men,1976,http://en.wikipedia.org/wiki/All_the_President%27s_Men_(film),False,http://oscars.yipitdata.com/films/All_the_President%2527s_Men_(film),Walter Coblenz,Warner Bros.,$8.5 million,8500000
Bound for Glory,1976,http://en.wikipedia.org/wiki/Bound_for_Glory_(film),False,http://oscars.yipitdata.com/films/Bound_for_Glory_(film),"Robert F. Blumofe, Harold Leventhal",United Artists,,0
Network,1976,http://en.wikipedia.org/wiki/Network_(film),False,http://oscars.yipitdata.com/films/Network_(film),Howard Gottfried,"Metro-Goldwyn-Mayer, United Artists",$3.8 million,3800000
Taxi Driver,1976,http://en.wikipedia.org/wiki/Taxi_Driver,False,http://oscars.yipitdata.com/films/Taxi_Driver,"Michael Phillips , Julia Phillips",Columbia,$1.3 million,1300000
Annie Hall,1977,http://en.wikipedia.org/wiki/Annie_Hall,True,http://oscars.yipitdata.com/films/Annie_Hall,Charles H. Joffe,United Artists,$4 million,4000000
The Goodbye Girl,1977,http://en.wikipedia.org/wiki/The_Goodbye_Girl,False,http://oscars.yipitdata.com/films/The_Goodbye_Girl,Ray Stark,"Metro-Goldwyn-Mayer, Warner Bros.",,0
Julia,1977,http://en.wikipedia.org/wiki/Julia_(1977_film),False,http://oscars.yipitdata.com/films/Julia_(1977_film),(Richard Roth),20th Century Fox,$7.84 million [ 1 ],7840000
Star Wars,1977,http://en.wikipedia.org/wiki/Star_Wars_(film),False,http://oscars.yipitdata.com/films/Star_Wars_(film),Gary Kurtz,"Lucasfilm, 20th Century Fox",$11 million [ 3 ],11000000
The Turning Point,1977,http://en.wikipedia.org/wiki/The_Turning_Point_(1977_film),False,http://oscars.yipitdata.com/films/The_Turning_Point_(1977_film),"Herbert Ross , Arthur Laurents",20th Century Fox,,0
The Deer Hunter,1978,http://en.wikipedia.org/wiki/The_Deer_Hunter,True,http://oscars.yipitdata.com/films/The_Deer_Hunter,"Barry Spikings , Michael Deeley , Michael Cimino , John Peverall","Universal, EMI",$15 million [ 2 ],15000000
Coming Home,1978,http://en.wikipedia.org/wiki/Coming_Home_(1978_film),False,http://oscars.yipitdata.com/films/Coming_Home_(1978_film),Jerome Hellman,United Artists,$3 million,3000000
